\fixlen = T
\RowsRetrieved = 154
\ORIGIN = 'IPAC Infrared Science Archive (IRSA), Caltech/JPL'
\DATETIME = '2019-05-07 00:35:02'
\DataTag = 'ADS/IRSA.Gator#2019/0507/003502_31569'
\DATABASE = 'SWIRE ELAIS N1 Region 160um Spring '05 Spitzer Catalog (elaisn1_160_cat_s05)'
\EQUINOX = 'J2000'
\SKYAREA = 'box with center (242.51300,+54.57359) and length 6235.99 arcsec.'
\StatusFile = '/workspace/TMP_FbExUm_31569/Gator/irsa/31569/log.31569.html'
\SQL = 'WHERE (no constraints)
\SQL = 'SELECT (11 column names follow in next row.)'
\ 
\ 
\ cntr
\ ___ entry counter (key) number (unique within table)
\ object
\ ___ object name designation
\ ra (deg)
\ ___ right ascension (J2000 decimal deg)
\ dec (deg)
\ ___ declination (J2000 decimal deg)
\ clon
\ ___ Right ascention in Sexagesimal format.
\ clat
\ ___ Declination in Sexagesimal format.
\ unc_ra (arcsec)
\ ___ position uncertainty in RA
\ unc_dec (arcsec)
\ ___ position uncertainty in Dec
\ unc_rd (arcsec)
\ ___ covariance position uncertainty
\ flux_prf (mjy)
\ ___ point-response-function flux
\ uncf_prf (mjy)
\ ___ point-response-function flux uncertainty
\ flux_ap3 (mjy)
\ ___ flux for aperture #3 (r=60.0")
\ flag
\ ___ extraction notes and flags
\ 
\
|cntr|object                   |ra        |dec      |clon        |clat        |unc_ra  |unc_dec |unc_rd   |flux_prf|uncf_prf|flux_ap3|flag|
|int |char                     |double    |double   |char        |char        |double  |double  |double   |double  |double  |double  |char|
|    |                         |deg       |deg      |            |            |arcsec  |arcsec  |arcsec   |mjy     |mjy     |mjy     |    |
|null|null                     |null      |null     |null        |null        |null    |null    |null     |null    |null    |null    |null|
  371 SWIRE2_160_J160804+545257 242.018311 54.882538 16h08m04.39s 54d52m57.14s 1.45e+00 1.45e+00 -1.58e-01   418.86     6.05   451.27 1    
  386 SWIRE2_160_J161436+541639 243.652100 54.277592 16h14m36.50s 54d16m39.33s 2.62e+00 2.33e+00  7.45e-01   258.57     6.12   152.45 1    
  268 SWIRE2_160_J160451+545012 241.215195 54.836803 16h04m51.65s 54d50m12.49s 3.85e+00 3.60e+00 -1.22e+00   159.12     5.83   136.89 1    
  373 SWIRE2_160_J161457+540855 243.740982 54.148716 16h14m57.84s 54d08m55.38s 5.72e+00 5.94e+00  1.36e+00   102.96     5.63    43.49 2    
  190 SWIRE2_160_J160449+543020 241.206375 54.505760 16h04m49.53s 54d30m20.74s 3.74e+00 3.64e+00  1.40e+00   160.29     5.89   191.88 1    
  510 SWIRE2_160_J161545+544022 243.939941 54.673031 16h15m45.59s 54d40m22.91s 1.11e+00 1.06e+00  4.28e-01   562.77     6.55   475.02 1    
  471 SWIRE2_160_J161527+543418 243.863342 54.571716 16h15m27.20s 54d34m18.18s 2.57e+00 2.66e+00  3.20e-01   237.51     6.14   274.95 1    
  360 SWIRE2_160_J161401+541258 243.505341 54.216148 16h14m01.28s 54d12m58.13s 5.29e+00 4.68e+00  9.86e-01   120.51     5.94    91.62 1    
  153 SWIRE2_160_J160617+541318 241.573975 54.221813 16h06m17.75s 54d13m18.53s 5.36e+00 4.82e+00  7.78e-01   114.19     5.52   195.86 1    
  353 SWIRE2_160_J161501+540457 243.755188 54.082668 16h15m01.25s 54d04m57.60s 4.61e+00 4.36e+00  6.30e-01   132.21     6.14    83.21 1    
  569 SWIRE2_160_J161031+552352 242.632095 55.397869 16h10m31.70s 55d23m52.33s 2.98e+00 2.71e+00 -9.40e-01   176.67     4.88   125.66 1    
  379 SWIRE2_160_J160506+551204 241.275604 55.201153 16h05m06.14s 55d12m04.15s 4.18e+00 4.18e+00  6.34e-01   122.85     4.69   135.25 1    
   90 SWIRE2_160_J160548+540204 241.453308 54.034592 16h05m48.79s 54d02m04.53s 2.49e+00 2.49e+00  4.07e-01   218.79     4.97   134.67 1    
  588 SWIRE2_160_J161417+550400 243.574677 55.066910 16h14m17.92s 55d04m00.88s 4.39e+00 4.18e+00 -6.73e-01   121.68     4.66   182.40 1    
  381 SWIRE2_160_J161406+541923 243.528320 54.323284 16h14m06.80s 54d19m23.82s 2.35e+00 2.26e+00  6.44e-01   198.90     4.34   271.79 1    
   62 SWIRE2_160_J160513+540122 241.307907 54.022819 16h05m13.90s 54d01m22.15s 4.57e+00 4.21e+00  1.93e+00   147.42     6.29   137.83 1    
   95 SWIRE2_160_J160602+540228 241.510239 54.041264 16h06m02.46s 54d02m28.55s 4.57e+00 4.36e+00  2.10e+00   126.36     5.53    84.53 1    
  327 SWIRE2_160_J161423+540352 243.599060 54.064591 16h14m23.77s 54d03m52.53s 3.54e+00 3.25e+00  5.15e-01   112.32     3.64     5.61 1    
  496 SWIRE2_160_J161353+544739 243.472488 54.794353 16h13m53.40s 54d47m39.67s 4.72e+00 4.64e+00  7.56e-01   127.53     5.60   190.12 1    
  241 SWIRE2_160_J160543+543819 241.432037 54.638851 16h05m43.69s 54d38m19.86s 3.60e+00 3.35e+00  1.55e-01   141.57     4.61   163.45 1    
  465 SWIRE2_160_J161259+544829 243.247894 54.808060 16h12m59.49s 54d48m29.02s 4.36e+00 3.89e+00  1.98e+00   150.93     5.81    79.21 1    
  307 SWIRE2_160_J160458+545715 241.243286 54.954208 16h04m58.39s 54d57m15.15s 4.18e+00 4.10e+00  7.31e-01   125.19     4.95    99.41 1    
  210 SWIRE2_160_J160540+543134 241.417450 54.526131 16h05m40.19s 54d31m34.07s 3.71e+00 3.42e+00  1.56e+00   180.18     6.54   135.84 1    
  173 SWIRE2_160_J160520+542401 241.334473 54.400398 16h05m20.27s 54d24m01.43s 5.00e+00 5.26e+00  5.29e-01   102.38     4.91    81.84 2    
  485 SWIRE2_160_J161319+545131 243.330139 54.858734 16h13m19.23s 54d51m31.44s 3.96e+00 3.74e+00  1.51e+00   146.25     6.03   188.84 1    
  429 SWIRE2_160_J161344+543109 243.436356 54.519367 16h13m44.73s 54d31m09.72s 4.86e+00 4.61e+00  1.80e+00   132.21     5.65   184.04 1    
  150 SWIRE2_160_J161024+534653 242.602783 53.781567 16h10m24.67s 53d46m53.64s 2.03e+00 1.92e+00  7.42e-01   332.28     6.65   240.79 1    
  287 SWIRE2_160_J161019+542155 242.580216 54.365368 16h10m19.25s 54d21m55.32s 3.85e+00 3.27e+00  1.21e+00   154.44     5.44    95.52 1    
   72 SWIRE2_160_J160618+535517 241.578232 53.921524 16h06m18.78s 53d55m17.49s 3.92e+00 4.21e+00  1.47e+00   166.14     6.54   135.13 1    
  304 SWIRE2_160_J160746+544102 241.944672 54.683929 16h07m46.72s 54d41m02.14s 3.20e+00 3.00e+00  9.32e-01   142.74     4.19   187.32 1    
  648 SWIRE2_160_J161421+551745 243.589325 55.296104 16h14m21.44s 55d17m45.97s 5.18e+00 5.26e+00 -8.71e-01    95.12     4.84   142.27 2    
  329 SWIRE2_160_J161411+540556 243.546555 54.098949 16h14m11.17s 54d05m56.22s 3.89e+00 3.44e+00  1.04e+00   146.25     5.24   132.56 1    
  363 SWIRE2_160_J161326+541814 243.359772 54.303909 16h13m26.35s 54d18m14.07s 5.26e+00 4.97e+00 -2.02e-01   139.23     6.81   178.43 1    
   50 SWIRE2_160_J160711+534652 241.796539 53.781250 16h07m11.17s 53d46m52.50s 5.54e+00 5.33e+00  9.72e-01   116.41     6.43   132.68 1    
  362 SWIRE2_160_J161330+541632 243.379105 54.275696 16h13m30.99s 54d16m32.51s 1.91e+00 1.92e+00 -4.64e-01   331.11     6.46   327.13 1    
  260 SWIRE2_160_J161442+534623 243.678513 53.773266 16h14m42.84s 53d46m23.76s 4.07e+00 3.71e+00  1.57e+00   153.27     5.98    92.02 1    
  309 SWIRE2_160_J160414+550227 241.060547 55.040977 16h04m14.53s 55d02m27.52s 3.48e+00 3.14e+00 -5.54e-01   169.65     5.37   224.87 1    
