\fixlen = T
\RowsRetrieved = 374
\ORIGIN = 'IPAC Infrared Science Archive (IRSA), Caltech/JPL'
\DATETIME = '2019-05-07 00:34:29'
\DataTag = 'ADS/IRSA.Gator#2019/0507/003429_31536'
\DATABASE = 'SWIRE ELAIS N1 Region 70um Spring '05 Spitzer Catalog (elaisn1_70_cat_s05)'
\EQUINOX = 'J2000'
\SKYAREA = 'box with center (242.51300,+54.57359) and length 6235.99 arcsec.'
\StatusFile = '/workspace/TMP_QaRET9_31536/Gator/irsa/31536/log.31536.html'
\SQL = 'WHERE (no constraints)
\SQL = 'SELECT (11 column names follow in next row.)'
\ 
\ 
\ cntr
\ ___ entry counter (key) number (unique within table)
\ object
\ ___ object name designation
\ ra (deg)
\ ___ right ascension (J2000 decimal deg)
\ dec (deg)
\ ___ declination (J2000 decimal deg)
\ clon
\ ___ Right ascention in Sexagesimal format.
\ clat
\ ___ Declination in Sexagesimal format.
\ unc_ra (arcsec)
\ ___ position uncertainty in RA
\ unc_dec (arcsec)
\ ___ position uncertainty in Dec
\ unc_rd (arcsec)
\ ___ covariance position uncertainty
\ flux_prf (mjy)
\ ___ point-response-function flux
\ uncf_prf (mjy)
\ ___ point-response-function flux uncertainty
\ flux_ap4 (mjy)
\ ___ flux for aperture #4 (r=27.0")
\ flag
\ ___ extraction notes and flags
\ 
\
|cntr|object                  |ra        |dec      |clon        |clat        |unc_ra  |unc_dec |unc_rd   |flux_prf|uncf_prf|flux_ap4|flag|
|int |char                    |double    |double   |char        |char        |double  |double  |double   |double  |double  |double  |char|
|    |                        |deg       |deg      |            |            |arcsec  |arcsec  |arcsec   |mjy     |mjy     |mjy     |    |
|null|null                    |null      |null     |null        |null        |null    |null    |null     |null    |null    |null    |null|
  381 SWIRE2_70_J160756+534406 241.984604 53.735050 16h07m56.30s 53d44m06.18s 3.05e+00 2.94e+00  4.46e-01    16.59     1.08     9.37 2    
  653 SWIRE2_70_J161056+534849 242.734268 53.813698 16h10m56.22s 53d48m49.31s 1.36e+00 1.33e+00 -3.31e-01    42.34     1.23    35.60 1    
  965 SWIRE2_70_J160803+545301 242.015106 54.883755 16h08m03.63s 54d53m01.52s 8.46e-01 8.21e-01  8.28e-02    91.99     1.82    91.89 1    
 1429 SWIRE2_70_J161527+544214 243.865814 54.704082 16h15m27.80s 54d42m14.70s 2.04e+00 2.00e+00  4.25e-01    19.49     0.82    13.90 2    
  694 SWIRE2_70_J160957+540408 242.489899 54.069050 16h09m57.58s 54d04m08.58s 2.83e+00 2.97e+00  9.72e-02    14.85     0.94    23.81 1    
  950 SWIRE2_70_J161354+535950 243.475235 53.997391 16h13m54.06s 53d59m50.61s 1.96e+00 2.19e+00 -6.70e-01    28.30     1.35    13.41 2    
 1065 SWIRE2_70_J161155+543113 242.980102 54.520405 16h11m55.22s 54d31m13.46s 2.61e+00 2.71e+00 -2.59e-01    16.94     0.97     7.40 1    
  551 SWIRE2_70_J160448+543016 241.204132 54.504593 16h04m48.99s 54d30m16.53s 1.39e+00 1.32e+00  2.99e-01    47.79     1.46    49.31 1    
  863 SWIRE2_70_J160927+542833 242.366364 54.476082 16h09m27.93s 54d28m33.90s 2.44e+00 2.51e+00  5.11e-01    23.78     1.24    28.88 1    
 1303 SWIRE2_70_J161023+551119 242.598907 55.188614 16h10m23.74s 55d11m19.01s 1.54e+00 1.53e+00 -1.58e-01    23.43     0.79    13.66 1    
  626 SWIRE2_70_J160815+540928 242.064697 54.157906 16h08m15.53s 54d09m28.46s 2.93e+00 2.89e+00  5.76e-01    18.68     1.18     7.42 1    
  850 SWIRE2_70_J161429+534244 243.622604 53.712372 16h14m29.42s 53d42m44.54s 5.11e-01 4.82e-01  8.64e-02   140.36     1.65   124.00 1    
 1407 SWIRE2_70_J161006+552545 242.527527 55.429215 16h10m06.61s 55d25m45.17s 2.63e+00 2.71e+00 -6.91e-01    25.52     1.54    14.27 1    
  587 SWIRE2_70_J161025+534648 242.604446 53.780037 16h10m25.07s 53d46m48.13s 7.52e-01 7.67e-01 -1.76e-01    75.52     1.28    88.02 1    
  811 SWIRE2_70_J160540+545507 241.417267 54.918869 16h05m40.14s 54d55m07.93s 1.25e+00 1.23e+00  3.20e-01    39.79     1.07    38.67 1    
  987 SWIRE2_70_J160449+552246 241.207352 55.379459 16h04m49.76s 55d22m46.05s 1.31e+00 1.29e+00 -2.20e-01    33.18     0.94    27.22 1    
  316 SWIRE2_70_J160539+535630 241.414429 53.941673 16h05m39.46s 53d56m30.02s 2.73e+00 2.67e+00  2.70e-01    20.88     1.21    14.66 1    
  559 SWIRE2_70_J160553+542225 241.472565 54.373737 16h05m53.42s 54d22m25.45s 9.43e-01 9.40e-01  1.66e-01    62.29     1.28    49.67 1    
  871 SWIRE2_70_J161223+540339 243.098053 54.060970 16h12m23.53s 54d03m39.49s 7.13e-01 6.98e-01 -1.19e-01    87.93     1.42    74.40 1    
 1087 SWIRE2_70_J161435+541022 243.647018 54.172874 16h14m35.28s 54d10m22.35s 2.90e+00 2.95e+00 -3.78e-01    18.79     1.18    11.83 2    
  634 SWIRE2_70_J160452+543849 241.219727 54.646954 16h04m52.73s 54d38m49.03s 2.91e+00 3.10e+00  3.20e-01    28.88     1.90    18.76 1    
  858 SWIRE2_70_J161025+541935 242.605850 54.326591 16h10m25.40s 54d19m35.73s 2.15e+00 2.22e+00  2.99e-01    29.46     1.47    27.32 2    
 1098 SWIRE2_70_J161103+544320 242.765381 54.722427 16h11m03.69s 54d43m20.74s 1.09e+00 1.07e+00  2.77e-01    56.72     1.39    60.17 2    
 1431 SWIRE2_70_J161545+544020 243.941498 54.672257 16h15m45.96s 54d40m20.13s 3.35e-01 3.31e-01  2.88e-02   191.40     1.55   185.72 2    
 1671 SWIRE2_70_J161531+551413 243.880432 55.237179 16h15m31.30s 55d14m13.84s 1.08e+00 1.03e+00  3.28e-01    38.40     0.98    33.96 1    
 1618 SWIRE2_70_J161546+550330 243.944138 55.058495 16h15m46.59s 55d03m30.58s 1.26e+00 1.27e+00  1.08e-01    27.49     0.76    21.04 2    
  819 SWIRE2_70_J160946+542127 242.441940 54.357532 16h09m46.07s 54d21m27.12s 1.21e+00 1.19e+00  2.81e-01    38.40     1.00    22.61 1    
 1003 SWIRE2_70_J161028+543538 242.619812 54.594029 16h10m28.75s 54d35m38.50s 2.53e+00 2.49e+00  5.90e-01    24.82     1.35    19.84 2    
  988 SWIRE2_70_J160507+551944 241.280029 55.328980 16h05m07.21s 55d19m44.33s 1.50e+00 1.45e+00  2.38e-01    37.35     1.24    21.31 1    
  744 SWIRE2_70_J160937+541259 242.406128 54.216522 16h09m37.47s 54d12m59.48s 6.16e-01 5.80e-01  1.55e-01    95.35     1.37    77.85 2    
  944 SWIRE2_70_J161103+542404 242.766663 54.401363 16h11m04.00s 54d24m04.91s 3.74e+00 3.64e+00  5.76e-01    13.69     1.04    18.53 2    
 1144 SWIRE2_70_J161437+541634 243.654587 54.276386 16h14m37.10s 54d16m34.99s 7.24e-01 7.42e-01  1.44e-01    87.81     1.49    69.42 1    
 1376 SWIRE2_70_J161238+550033 243.160202 55.009399 16h12m38.45s 55d00m33.84s 2.17e+00 2.24e+00 -2.92e-01    18.44     0.88    12.76 1    
  573 SWIRE2_70_J160655+541500 241.732513 54.250137 16h06m55.80s 54d15m00.49s 7.02e-01 6.91e-01  1.55e-01    80.39     1.28    51.90 1    
  813 SWIRE2_70_J161107+540854 242.780731 54.148445 16h11m07.38s 54d08m54.40s 3.03e+00 2.85e+00  5.83e-01    18.33     1.18     8.97 2    
  748 SWIRE2_70_J161006+540910 242.526566 54.152946 16h10m06.38s 54d09m10.61s 1.81e+00 1.89e+00  4.25e-01    24.48     0.96    -0.41 2    
 1252 SWIRE2_70_J161444+542722 243.684525 54.456215 16h14m44.29s 54d27m22.37s 1.91e+00 1.86e+00 -2.88e-02    22.62     0.92    15.44 1    
